index	STRING_id
219	6239.B0361.8.1
220	6239.B0365.1.1
221	6239.B0365.3.1
222	6239.B0365.7.1
223	6239.B0379.1a.1
224	6239.B0379.2.1
225	6239.B0379.3a.1
226	6239.B0379.4b.1
227	6239.B0379.6.1
228	6239.B0391.11a.1
229	6239.B0391.4.1
230	6239.B0391.5.1
231	6239.B0393.1.2
232	6239.B0393.2.2
233	6239.B0393.3.1
234	6239.B0393.4.1
235	6239.B0393.5.1
236	6239.B0393.6.1
237	6239.B0395.1.1
238	6239.B0395.2.1
239	6239.B0395.3.2
240	6239.B0399.1a.1
241	6239.B0399.2.1
242	6239.B0403.2.2
243	6239.B0403.4.1
244	6239.B0410.2a.1
245	6239.B0412.1a.1
246	6239.B0412.2.1
247	6239.B0412.3a.1
248	6239.B0412.4.1
249	6239.B0414.2.2
250	6239.B0414.3.1
251	6239.B0414.5.1
252	6239.B0414.6.1
253	6239.B0414.7b.1
254	6239.B0414.8a.1
255	6239.B0416.1a.1
256	6239.B0416.5a.1
257	6239.B0416.6.1
258	6239.B0432.10.3
259	6239.B0432.11.1
260	6239.B0432.12.1
261	6239.B0432.13.1
262	6239.B0432.2.1
263	6239.B0432.3.1
264	6239.B0432.4.1
265	6239.B0432.5a.1
266	6239.B0432.7a.1
267	6239.B0432.8.1
268	6239.B0432.9.1
269	6239.B0454.1.1
270	6239.B0454.6.1
271	6239.B0454.8.1
272	6239.B0457.1a.1
273	6239.B0464.1.2
274	6239.B0464.2a.1
275	6239.B0464.5a.2
276	6239.B0464.6.2
277	6239.B0464.7.1
278	6239.B0464.8.1
279	6239.B0464.9.1
280	6239.B0478.1a.1
281	6239.B0478.3.1
282	6239.B0491.1.1
283	6239.B0491.2.1
284	6239.B0491.3.1
285	6239.B0491.4a.1
286	6239.B0491.5.3
287	6239.B0491.6b.1
288	6239.B0491.7.1
289	6239.B0491.8a.1
290	6239.B0495.10a.2
291	6239.B0495.2a.1
292	6239.B0495.4.1
293	6239.B0495.5.1
294	6239.B0495.6.1
295	6239.B0495.8a.1
296	6239.B0495.9.1
297	6239.B0496.3e.1
298	6239.B0496.7.1
299	6239.B0496.8.1
300	6239.B0507.1.1
301	6239.B0507.2.1
302	6239.B0507.3a.1
303	6239.B0507.4.1
304	6239.B0511.1.1
305	6239.B0511.10.1
306	6239.B0511.13b.1
307	6239.B0511.2.1
308	6239.B0511.4.1
309	6239.B0511.5.1
310	6239.B0511.6.1
311	6239.B0511.7.1
312	6239.B0511.8.2
313	6239.B0511.9c.1
314	6239.B0513.1a.1
315	6239.B0513.2a.1
316	6239.B0513.3a.1
317	6239.B0513.4a.1
318	6239.B0513.5a.1
319	6239.B0513.9a.1
320	6239.B0523.3.1
321	6239.B0523.5.1
322	6239.B0524.2.1
323	6239.B0524.6.1
324	6239.B0545.1a.1
325	6239.B0545.4.1
326	6239.B0546.1.1
327	6239.B0546.2a.1
328	6239.B0546.3a.1
329	6239.B0546.4a.1
330	6239.B0547.1.1
331	6239.B0554.4.1
332	6239.B0554.6.1
333	6239.B0563.1.1
334	6239.B0563.2.1
335	6239.B0563.4.1
336	6239.B0563.7.1
337	6239.B0564.10b.1
338	6239.B0564.11.1
339	6239.B0564.1a.1
340	6239.B0564.1b.2
341	6239.B0564.2a.1
342	6239.B0564.6.1
343	6239.B0564.7a.1
344	6239.B0564.9.1
345	6239.BE0003N10.1.1
346	6239.BE0003N10.2.1
347	6239.BE0003N10.3a.1
348	6239.BE10.2.1
349	6239.BE10.3.1
350	6239.C01A2.3.1
351	6239.C01A2.4.1
352	6239.C01A2.5.1
353	6239.C01A2.7b.1
354	6239.C01B10.10.1
355	6239.C01B10.11.1
356	6239.C01B10.3.1
357	6239.C01B10.4a.1
358	6239.C01B10.8.2
359	6239.C01B10.9.1
360	6239.C01B12.1.1
361	6239.C01B12.2.1
362	6239.C01B4.6.1
363	6239.C01B4.8a.1
364	6239.C01B7.1c.1
365	6239.C01B7.4a.2
366	6239.C01B7.6.1
367	6239.C01B9.1b.1
368	6239.C01C10.2b.1
369	6239.C01C4.1.1
370	6239.C01C7.1a.1
371	6239.C01F1.1.1
372	6239.C01F1.2.1
373	6239.C01F1.3a.1
374	6239.C01F1.5.1
375	6239.C01F1.6.1
376	6239.C01F4.2a.1
377	6239.C01F6.1.1
378	6239.C01F6.2.1
379	6239.C01F6.4a.1
380	6239.C01F6.5.1
381	6239.C01F6.6b.1
382	6239.C01F6.8b.1
383	6239.C01F6.9a.1
384	6239.C01G10.1.1
385	6239.C01G10.10a.1
386	6239.C01G10.11f.2
387	6239.C01G10.12.1
388	6239.C01G10.7.2
389	6239.C01G10.8.1
390	6239.C01G10.9.2
391	6239.C01G12.1.1
392	6239.C01G12.3.2
393	6239.C01G12.8.1
394	6239.C01G5.3.1
395	6239.C01G5.4a.1
396	6239.C01G5.5.1
397	6239.C01G5.6.1
398	6239.C01G5.8a.1
399	6239.C01G6.1a.3
400	6239.C01G6.3.2
401	6239.C01G6.4.1
402	6239.C01G6.5.1
403	6239.C01G6.6a.2
404	6239.C01G6.7.1
405	6239.C01G6.8a.1
406	6239.C01G8.1a.1
407	6239.C01G8.2.1
408	6239.C01G8.3.1
409	6239.C01G8.4.1
410	6239.C01G8.5b.1
411	6239.C01G8.6.1
412	6239.C01G8.9c.1
413	6239.C01H6.1.1
414	6239.C01H6.2.1
415	6239.C01H6.4.1
416	6239.C01H6.5a.1
417	6239.C01H6.6.1
418	6239.C01H6.7a.3
419	6239.C01H6.9.1
420	6239.C02A12.1.1
421	6239.C02A12.4.1
422	6239.C02B10.1.2
423	6239.C02B10.2.1
424	6239.C02B10.3.1
425	6239.C02B10.4.1
426	6239.C02B10.5a.1
427	6239.C02B10.6.1
428	6239.C02B4.2.1
429	6239.C02B8.1.1
430	6239.C02B8.12.1
